length,fold,representation,representation_label,n_features,macro_f1,accuracy
150,3,ck4p_msp,CK4P-MSP,222,0.6914648716379638,0.7037037037037037
150,4,ck4p_msp,CK4P-MSP,222,0.6294880246099759,0.6481481481481481
150,5,ck4p_msp,CK4P-MSP,222,0.5829994192799072,0.5925925925925926
150,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7337584987263365,0.746031746031746
150,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7735471243601325,0.7962962962962963
150,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.6912375790424571,0.7222222222222222
150,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7247863247863249,0.7407407407407407
150,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.622836661546339,0.6296296296296297
150,1,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.5072930442949418,0.5396825396825397
150,2,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.7393074188739823,0.7407407407407407
150,3,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.7141805266805267,0.7222222222222222
150,4,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6607561852148861,0.6851851851851852
150,5,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.41331692644243917,0.46296296296296297
150,1,pseeiip,PseEIIP,64,0.524529011040639,0.5555555555555556
150,2,pseeiip,PseEIIP,64,0.7412280701754387,0.7407407407407407
150,3,pseeiip,PseEIIP,64,0.6754385964912281,0.6851851851851852
150,4,pseeiip,PseEIIP,64,0.7017838962418663,0.7222222222222222
150,5,pseeiip,PseEIIP,64,0.4162778115912626,0.46296296296296297
150,1,ncp_anf,NCP+ANF,600,0.841053391053391,0.8412698412698413
150,2,ncp_anf,NCP+ANF,600,0.8150503444621092,0.8148148148148148
150,3,ncp_anf,NCP+ANF,600,0.9077694235588972,0.9074074074074074
150,4,ncp_anf,NCP+ANF,600,0.8139083139083138,0.8148148148148148
150,5,ncp_anf,NCP+ANF,600,0.7782665363310525,0.7777777777777778
