length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9889459437947977,0.9844888185746933,0.1474934650805295,0.17613157712499264,0.11470893995124988,1.0
75,trim_5bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9929121846958947,0.9906202611690603,0.11827860933852746,0.1369650656100495,0.11594212249088684,1.0
75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9810147904117273,0.9587344280933027,0.18810087590800526,0.28728227645036747,0.10697575743771992,1.0
75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.976454522480522,0.9683396755379451,0.21547643930960864,0.2516359245843513,0.10051949329187784,1.0
75,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9945971927019487,0.9811334869858866,0.07161036833648289,0.19424990515139462,0.11655752177230332,1.0
75,substitution_1pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.979307887473811,0.928092792700865,0.14031585868441648,0.3792286955835088,0.30865601589698294,1.0
75,N_3pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9694592648135116,0.9412988034413184,0.24115088220153383,0.34263969735105937,0.3025626915175814,1.0
75,trim_5bp,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9434157141033516,0.904767215763521,0.3310208171378465,0.4364234807935001,0.2726248446565661,1.0
75,substitution_1pct_N_3pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9490277096665948,0.8861122381950817,0.30484168542339984,0.4772576534650803,0.2812751797540517,1.0
75,local_mismatch_6bp,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9365171178247058,0.8644823697816559,0.3468873787787452,0.5206104649815108,0.26675876791176767,1.0
75,short_indel,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9839450435061582,0.9346124750918046,0.12151044599854485,0.3616270749498427,0.3124715611827137,1.0
75,substitution_1pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9767191640507608,0.9102586852780676,0.14800766907829518,0.423653883529815,0.3572048755124721,1.0
75,N_3pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9633668318130979,0.9291123557636024,0.2638256859604107,0.37653059043660303,0.34709287405237194,1.0
75,trim_5bp,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9430921088920736,0.9018957957292345,0.3318361237738908,0.44295242725790845,0.3244287487487062,1.0
75,substitution_1pct_N_3pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9423134656273998,0.8702896885337245,0.32533543844797636,0.5093326560918436,0.3280279838195074,1.0
75,local_mismatch_6bp,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9296620509431834,0.8487774827102118,0.3641116900883376,0.5499495112678514,0.3122845308970603,1.0
