length,fold,representation,representation_label,n_features,macro_f1,accuracy
75,5,ck4p_msp,CK4P-MSP,222,0.4838570628044312,0.48148148148148145
75,1,candidate_pkm_replace,PKM replace (222D),222,0.7950823362054219,0.7936507936507936
75,2,candidate_pkm_replace,PKM replace (222D),222,0.7311856006260596,0.7407407407407407
75,3,candidate_pkm_replace,PKM replace (222D),222,0.8330827067669172,0.8333333333333334
75,4,candidate_pkm_replace,PKM replace (222D),222,0.7796052631578947,0.7777777777777778
75,5,candidate_pkm_replace,PKM replace (222D),222,0.7587719298245613,0.7592592592592593
75,1,candidate_cpkm_replace,CPKM replace (222D),222,0.7891707775428706,0.7936507936507936
75,2,candidate_cpkm_replace,CPKM replace (222D),222,0.8522924838714312,0.8518518518518519
75,3,candidate_cpkm_replace,CPKM replace (222D),222,0.8522924838714313,0.8518518518518519
75,4,candidate_cpkm_replace,CPKM replace (222D),222,0.7909592284592284,0.7962962962962963
75,5,candidate_cpkm_replace,CPKM replace (222D),222,0.8141856141856142,0.8148148148148148
75,1,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7950823362054219,0.7936507936507936
75,2,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7311856006260596,0.7407407407407407
75,3,candidate_pkm_augment,PKM augmentation screen (297D),297,0.8155601421855292,0.8148148148148148
75,4,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7595442332284437,0.7592592592592593
75,5,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7587719298245613,0.7592592592592593
75,1,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7891707775428706,0.7936507936507936
75,2,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8164201353055841,0.8148148148148148
75,3,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8335498960498962,0.8333333333333334
75,4,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8081807614065678,0.8148148148148148
75,5,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8141856141856142,0.8148148148148148
75,1,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8095238095238094,0.8095238095238095
75,2,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8292248163123342,0.8333333333333334
75,3,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8322036322036322,0.8333333333333334
75,4,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8355348355348355,0.8333333333333334
75,5,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.7578259373925008,0.7592592592592593
100,1,ck4,CK4,136,0.7564509564509564,0.7619047619047619
100,2,ck4,CK4,136,0.7568922305764411,0.7777777777777778
100,3,ck4,CK4,136,0.7370141038871689,0.7407407407407407
100,4,ck4,CK4,136,0.6651186790505677,0.6666666666666666
100,5,ck4,CK4,136,0.5942721916352748,0.5925925925925926
100,1,ck5,CK5,512,0.7306879167344285,0.7301587301587301
100,2,ck5,CK5,512,0.7073684210526316,0.7407407407407407
100,3,ck5,CK5,512,0.7091550215489094,0.7222222222222222
100,4,ck5,CK5,512,0.667919799498747,0.6851851851851852
